A[-1.5654602,-6.36351,7.402817]
A[-1.4589081,-6.297653,7.0029907]
A[-1.6642151,-6.3227997,5.6825867]
A[-1.7162933,-6.26355,5.8561707]
A[-1.5786285,-6.4676514,8.017532]
A[-2.1646118,-6.462265,9.968811]
A[-1.8330078,-6.101349,8.60173]
A[-1.818039,-6.2144623,6.94014]
G[0.18434143,0.15930176,0.061141968]
A[-1.4547272,-6.0366974,6.3978577]
G[0.013366699,0.22055054,0.043563843]
A[-1.5894012,-6.2030945,6.7168884]
G[-0.051620483,0.052246094,0.078186035]
A[-1.7767487,-6.2126617,7.510559]
G[0.018692017,-0.09051514,0.1383667]
A[-1.8988495,-6.1827393,7.9187775]
G[0.09539795,-0.04576111,0.18630981]
A[-1.687561,-6.111511,7.813431]
G[0.14118958,-0.03138733,0.19856262]
A[-1.4816589,-6.14563,7.536911]
G[0.1156311,-0.03617859,0.1932373]
A[-1.5828247,-6.192322,7.304657]
G[0.07833862,0.025604248,0.19642639]
A[-1.616333,-6.1360626,7.4596863]
G[0.07247925,0.06503296,0.19535828]
A[-1.5253601,-6.0732117,7.3740997]
G[0.07354736,-0.009017944,0.20228577]
A[-1.6504517,-6.1869354,7.2430115]
G[0.051712036,-0.10328674,0.22892761]
A[-1.6360931,-6.134262,7.4363403]
G[0.06555176,-0.111816406,0.2278595]
A[-1.5486908,-6.08757,7.5243225]
G[0.0644989,-0.08570862,0.21932983]
A[-1.4618988,-6.0767975,7.556656]
G[0.07461548,-0.064941406,0.20121765]
A[-1.4571228,-6.007965,7.730835]
G[0.11723328,-0.022872925,0.18684387]
A[-1.4930267,-5.991806,7.5482635]
G[0.13053894,-0.0132751465,0.16073608]
A[-1.4541321,-6.072006,7.2831116]
G[0.10656738,-0.15762329,0.13357544]
A[-1.5822144,-6.189926,7.292099]
G[0.08900452,-0.26574707,0.13090515]
A[-1.8593445,-6.1474304,7.600952]
G[0.11190796,-0.26200867,0.1421051]
A[-1.9000397,-5.9541016,7.940933]
G[0.1465149,-0.02178955,0.12666321]
A[-1.9742737,-5.8116455,8.073196]
G[0.17687988,0.19924927,0.14050293]
A[-2.4758453,-5.7960815,8.491592]
G[0.3105774,0.13320923,0.19482422]
A[-2.259781,-5.782303,8.639435]
G[0.4794159,-0.45536804,0.22839355]
A[-2.2537994,-5.8942413,8.517929]
G[0.5326843,-0.80955505,0.27685547]
A[-2.8852692,-6.193512,8.932114]
G[0.5246887,-0.19384766,0.3231964]
A[-3.3976135,-6.343155,10.4644165]
G[0.67276,1.4296417,0.33703613]
A[-3.964447,-6.6531982,12.036209]
G[1.0189667,3.2730713,0.3935089]
A[-4.489975,-7.071594,11.744705]
G[1.2831573,4.5828247,0.4590149]
A[-4.011139,-7.458252,9.424728]
G[1.1420135,5.7508698,0.32958984]
A[-2.9570923,-6.4413147,8.080978]
G[1.2235107,7.0648804,-0.10877991]
A[-1.3751221,-4.4038544,9.285858]
G[1.7880859,8.549332,-0.6147766]
A[-1.387085,-5.441742,8.379059]
G[2.4640045,8.161041,-0.84646606]
A[-2.3764954,-5.7404175,5.313278]
G[2.9385834,6.1285095,-0.8746948]
A[-2.1233063,-5.7799225,3.3500366]
G[3.0807953,6.0326385,-1.1660461]
A[-1.8288116,-6.240204,0.70384216]
G[2.4682617,6.1887054,-1.3950806]
